id:ID(KG),:LABEL,name,provided_by,source
GO:0006084,BiologicalProcess,acetyl-CoA metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006629,BiologicalProcess,lipid metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006631,BiologicalProcess,fatty acid metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006633,BiologicalProcess,fatty acid biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006637,BiologicalProcess,acyl-CoA metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010884,BiologicalProcess,positive regulation of lipid storage,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0010906,BiologicalProcess,regulation of glucose metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031667,BiologicalProcess,response to nutrient levels,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031999,BiologicalProcess,negative regulation of fatty acid beta-oxidation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046322,BiologicalProcess,negative regulation of fatty acid oxidation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0050995,BiologicalProcess,negative regulation of lipid catabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051289,BiologicalProcess,protein homotetramerization,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0055089,BiologicalProcess,fatty acid homeostasis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0060421,BiologicalProcess,positive regulation of heart growth,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0097009,BiologicalProcess,energy homeostasis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:2001295,BiologicalProcess,malonyl-CoA biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005978,BiologicalProcess,glycogen biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006111,BiologicalProcess,regulation of gluconeogenesis,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0006635,BiologicalProcess,fatty acid beta-oxidation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0019254,BiologicalProcess,"carnitine metabolic process, CoA-linked",NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0033539,BiologicalProcess,fatty acid beta-oxidation using acyl-CoA dehydrogenase,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045329,BiologicalProcess,carnitine biosynthetic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051791,BiologicalProcess,medium-chain fatty acid metabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051793,BiologicalProcess,medium-chain fatty acid catabolic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0014728,BiologicalProcess,regulation of the force of skeletal muscle contraction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0014732,BiologicalProcess,skeletal muscle atrophy,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0014883,BiologicalProcess,transition between fast and slow fiber,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0014894,BiologicalProcess,response to denervation involved in regulation of muscle adaptation,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030036,BiologicalProcess,actin cytoskeleton organization,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031448,BiologicalProcess,positive regulation of fast-twitch skeletal muscle fiber contraction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042981,BiologicalProcess,regulation of apoptotic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045820,BiologicalProcess,negative regulation of glycolytic process,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0048041,BiologicalProcess,focal adhesion assembly,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0048633,BiologicalProcess,positive regulation of skeletal muscle tissue growth,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
