id:ID(KG),:LABEL,name,provided_by,source
GO:0005634,CellularComponent,nucleus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005739,CellularComponent,mitochondrion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005741,CellularComponent,mitochondrial outer membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005829,CellularComponent,cytosol,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005737,CellularComponent,cytoplasm,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005759,CellularComponent,mitochondrial matrix,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030424,CellularComponent,axon,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031966,CellularComponent,mitochondrial membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005884,CellularComponent,actin filament,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005886,CellularComponent,plasma membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005903,CellularComponent,brush border,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005925,CellularComponent,focal adhesion,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0015629,CellularComponent,actin cytoskeleton,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030017,CellularComponent,sarcomere,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030018,CellularComponent,Z disc,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030054,CellularComponent,cell junction,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030864,CellularComponent,cortical actin cytoskeleton,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031143,CellularComponent,pseudopodium,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042995,CellularComponent,cell projection,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0070062,CellularComponent,extracellular exosome,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005901,CellularComponent,caveola,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005905,CellularComponent,clathrin-coated pit,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0014069,CellularComponent,postsynaptic density,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016020,CellularComponent,membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016323,CellularComponent,basolateral plasma membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016324,CellularComponent,apical plasma membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030425,CellularComponent,dendrite,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0030665,CellularComponent,clathrin-coated vesicle membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0031410,CellularComponent,cytoplasmic vesicle,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0032809,CellularComponent,neuronal cell body membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042734,CellularComponent,presynaptic membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0044853,CellularComponent,plasma membrane raft,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045121,CellularComponent,membrane raft,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045202,CellularComponent,synapse,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0048786,CellularComponent,presynaptic active zone,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0060076,CellularComponent,excitatory synapse,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0098685,CellularComponent,Schaffer collateral - CA1 synapse,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0098686,CellularComponent,hippocampal mossy fiber to CA3 synapse,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0098978,CellularComponent,glutamatergic synapse,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043025,CellularComponent,neuronal cell body,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043235,CellularComponent,receptor complex,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0043679,CellularComponent,axon terminus,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0045211,CellularComponent,postsynaptic membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0048787,CellularComponent,presynaptic active zone membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0098691,CellularComponent,dopaminergic synapse,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0098839,CellularComponent,postsynaptic density membrane,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0098982,CellularComponent,GABA-ergic synapse,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0000785,CellularComponent,chromatin,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005654,CellularComponent,nucleoplasm,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005840,CellularComponent,ribosome,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016607,CellularComponent,nuclear speck,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0034451,CellularComponent,centriolar satellite,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
