id:ID(KG),:LABEL,name,description,xref,provided_by,source
MONDO:0958023,Disease,"Lipodystrophy, congenital generalized, type 5","Congenital generalized lipodystrophy type 5 (CGL5) is an autosomal recessive metabolic disorder characterized by childhood onset of lipodystrophy, severe nonalcoholic fatty liver disease, dyslipidemia",UMLS:C5882745,NCBI:MedGen,NCBI MedGen
UMLS:C4268053,Disease,"Type 1 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Combined Traction Retinal Detachment and Rhegmatogenous Retinal Detachment, Unspecified Eye",Evidence of type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment in an unspecified eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C2874029,Disease,Type 1 Diabetes Mellitus with Unspecified Diabetic Retinopathy with Macular Edema,Evidence of type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema.,,NCBI:MedGen,NCBI MedGen
UMLS:C2874004,Disease,Drug or Chemical Induced Diabetes Mellitus with Other Skin Ulcer,Evidence of drug or chemical induced diabetes mellitus with other skin ulcer.,,NCBI:MedGen,NCBI MedGen
MONDO:0014458,Disease,Fanconi renotubular syndrome 4 with maturity-onset diabetes of the young,Any Fanconi syndrome in which the cause of the disease is a mutation in the HNF4A gene.,UMLS:C4014962,NCBI:MedGen,NCBI MedGen
MONDO:0013008,Disease,Combined immunodeficiency due to STIM1 deficiency,"Immunodeficiency-10 (IMD10) is an autosomal recessive primary immunodeficiency characterized by onset of recurrent infections in childhood due to defective T- and NK-cell function, although the severi",UMLS:C2748557,NCBI:MedGen,NCBI MedGen
MONDO:0008721,Disease,Medium-chain acyl-coenzyme A dehydrogenase deficiency,"Individuals with medium-chain acyl-coenzyme A dehydrogenase (MCAD) deficiency typically appear normal at birth, and many are diagnosed through newborn screening programs. Symptomatic individuals exper",UMLS:C0220710,NCBI:MedGen,NCBI MedGen
UMLS:C2903661,Disease,"Pre-Existing Type 1 Diabetes Mellitus, in Pregnancy, Third Trimester",Evidence of pre-existing type 1 diabetes mellitus in the in pregnancy in the third trimester.,,NCBI:MedGen,NCBI MedGen
UMLS:CN380151,Disease,"Glycogen Storage Disease, Type 1B/1C",,,NCBI:MedGen,NCBI MedGen
UMLS:C1856301,Disease,"Glycogen storage disease IV, classic hepatic",,,NCBI:MedGen,NCBI MedGen
MONDO:0011614,Disease,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,Mitochondrial HMG-CoA synthase deficiency (HMGCS2D) is an inherited metabolic disorder caused by a defect in the enzyme that regulates the formation of ketone bodies. Patients present with hypoketotic,UMLS:C2751532,NCBI:MedGen,NCBI MedGen
MONDO:0015624,Disease,Diazoxide-sensitive diffuse hyperinsulinism,,UMLS:C5679570,NCBI:MedGen,NCBI MedGen
MONDO:0018582,Disease,GCGR-related hyperglucagonemia,"Mahvash disease (MVAH) is an autosomal recessive disorder caused by inactivating mutations in the glucagon receptor, leading to alpha-cell hyperplasia of the pancreas, hyperglucagonemia without glucag",UMLS:C4763635,NCBI:MedGen,NCBI MedGen
MONDO:0008862,Disease,3-methylcrotonyl-CoA carboxylase 2 deficiency,"3-Methylcrotonylglycinuria is an autosomal recessive disorder of leucine catabolism. The clinical phenotype is highly variable, ranging from neonatal onset with severe neurologic involvement to asympt",UMLS:C1859499,NCBI:MedGen,NCBI MedGen
UMLS:C2874036,Disease,Type 1 Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy with Macular Edema,Evidence of type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268099,Disease,"Type 2 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Traction Retinal Detachment Involving the Macula, Bilateral",Evidence of type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula that is bilateral.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268057,Disease,"Type 1 Diabetes Mellitus with Stable Proliferative Diabetic Retinopathy, Bilateral",Evidence of type 1 diabetes mellitus with stable proliferative diabetic retinopathy that is bilateral.,,NCBI:MedGen,NCBI MedGen
UMLS:C4017115,Disease,"GLYCOGEN STORAGE DISEASE IV, CLASSIC HEPATIC",,,NCBI:MedGen,NCBI MedGen
UMLS:C4268045,Disease,"Type 1 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Traction Retinal Detachment not Involving the Macula, Right Eye",Evidence of type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula in the right eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C5847622,Disease,Diabetes mellitus type 1 stage 3,"Represents manifestations of the typical clinical symptoms and signs of Type 1 diabetes mellitus, which may include polyuria, polydipsia, weight loss, fatigue, diabetic ketoacidosis (DKA), and others.",,NCBI:MedGen,NCBI MedGen
UMLS:C2874085,Disease,Type 2 Diabetes Mellitus with Mild Nonproliferative Diabetic Retinopathy with Macular Edema,Evidence of type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema.,,NCBI:MedGen,NCBI MedGen
UMLS:C5786239,Disease,Diabetes Mellitus due to Underlying Condition with Severe Non-Proliferative Diabetic Retinopathy without Macular Edema,Evidence of diabetes mellitus due to underlying condition with severe non-proliferative diabetic retinopathy without macular edema.,,NCBI:MedGen,NCBI MedGen
UMLS:C0751172,Disease,Adult Glycogen Storage Disease Type II,,,NCBI:MedGen,NCBI MedGen
UMLS:C4267996,Disease,"Drug or Chemical Induced Diabetes Mellitus with Proliferative Diabetic Retinopathy with Combined Traction Retinal Detachment and Rhegmatogenous Retinal Detachment, Unspecified Eye",Evidence of drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment in an unspecified eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C5880074,Disease,Presymptomatic type 1 diabetes mellitus,,,NCBI:MedGen,NCBI MedGen
UMLS:C4268076,Disease,"Type 2 Diabetes Mellitus with Moderate Nonproliferative Diabetic Retinopathy with Macular Edema, Right Eye",Evidence of type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema in the right eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C4268073,Disease,"Type 2 Diabetes Mellitus with Mild Nonproliferative Diabetic Retinopathy without Macular Edema, Left Eye",Evidence of type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema in the left eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C4510752,Disease,Muscle and heart glycogen synthase deficiency,Glycogen storage disease due to muscle and heart glycogen synthase deficiency is characterized by muscle and heart glycogen deficiency. It has been described in three siblings (two brothers and their ,,NCBI:MedGen,NCBI MedGen
UMLS:C4268141,Disease,"Other Specified Diabetes Mellitus with Severe Nonproliferative Diabetic Retinopathy with Macular Edema, Right Eye",Evidence of other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema in the right eye not specified elsewhere.,,NCBI:MedGen,NCBI MedGen
UMLS:C0342687,Disease,Dopamine beta-hydroxylase deficiency,"Dopamine beta-hydroxylase deficiency is a condition that affects the autonomic nervous system, which controls involuntary body processes such as the regulation of blood pressure and body temperature. ",,NCBI:MedGen,NCBI MedGen
UMLS:C5447388,Disease,YARSopathy,"An autosomal recessive condition caused by mutation(s) in the YARS gene encoding tyrosine-tRNA ligase. It is characterized by a variable phenotype which may include poor growth, developmental delay, a",,NCBI:MedGen,NCBI MedGen
MONDO:0017697,Disease,"Glycogen storage disease due to glycogen branching enzyme deficiency, fatal perinatal neuromuscular form",,UMLS:C1856303,NCBI:MedGen,NCBI MedGen
MONDO:0016238,Disease,Solitary fibrous tumor,"A rare spindle cell neoplasm that may be benign or malignant and that most frequently arises from the pleura and peritoneum and rarely from other sites such as head and neck, liver and skeletal muscle",UMLS:C1266119,NCBI:MedGen,NCBI MedGen
UMLS:C5395933,Disease,Glycogen storage disease due to muscle pyruvate kinase deficiency,,,NCBI:MedGen,NCBI MedGen
MONDO:0009704,Disease,"Carnitine palmitoyl transferase II deficiency, myopathic form","Carnitine palmitoyltransferase II (CPT II) deficiency is a disorder of long-chain fatty-acid oxidation. The three clinical presentations are lethal neonatal form, severe infantile hepatocardiomuscular",UMLS:C1833508,NCBI:MedGen,NCBI MedGen
MONDO:0017400,Disease,Hypoplastic pancreas-intestinal atresia-hypoplastic gallbalder syndrome,"Mitchell-Riley syndrome (MTCHRS) is characterized by neonatal diabetes, pancreatic hypoplasia, intestinal atresia, and gallbladder aplasia or hypoplasia. There is considerable phenotypic overlap betwe",UMLS:C2748662,NCBI:MedGen,NCBI MedGen
MONDO:0010281,Disease,Danon disease,"Danon disease is a multisystem condition with predominant involvement of the heart, skeletal muscles, and retina, with overlying cognitive dysfunction. Males are typically more severely affected than ",UMLS:C0878677,NCBI:MedGen,NCBI MedGen
MONDO:0012381,Disease,Hyperinsulinism due to INSR deficiency,"The severity of congenital hyperinsulinism varies widely among affected individuals, even among members of the same family. About 60 percent of infants with this condition experience a hypoglycemic ep",UMLS:C1864952,NCBI:MedGen,NCBI MedGen
UMLS:C0271716,Disease,Postpancreatectomy hyperglycemia,,,NCBI:MedGen,NCBI MedGen
UMLS:C4268103,Disease,"Type 2 Diabetes Mellitus with Proliferative Diabetic Retinopathy with Traction Retinal Detachment not Involving the Macula, Left Eye",Evidence of type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula in the left eye.,,NCBI:MedGen,NCBI MedGen
UMLS:C2874139,Disease,Other Specified Diabetes Mellitus with Mild Nonproliferative Diabetic Retinopathy with Macular Edema,Evidence of other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema not specified elsewhere.,,NCBI:MedGen,NCBI MedGen
