id:ID(KG),:LABEL,name,provided_by,source
GO:0000166,MolecularActivity,nucleotide binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0003824,MolecularActivity,catalytic activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0003989,MolecularActivity,acetyl-CoA carboxylase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005515,MolecularActivity,protein binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005524,MolecularActivity,ATP binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016874,MolecularActivity,ligase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042802,MolecularActivity,identical protein binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046872,MolecularActivity,metal ion binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0003995,MolecularActivity,acyl-CoA dehydrogenase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016491,MolecularActivity,oxidoreductase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016627,MolecularActivity,"oxidoreductase activity, acting on the CH-CH group of donors",NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0050660,MolecularActivity,flavin adenine dinucleotide binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0070991,MolecularActivity,medium-chain fatty acyl-CoA dehydrogenase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0003779,MolecularActivity,actin binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005178,MolecularActivity,integrin binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005509,MolecularActivity,calcium ion binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008307,MolecularActivity,structural constituent of muscle,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0044325,MolecularActivity,transmembrane transporter binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051015,MolecularActivity,actin filament binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0004016,MolecularActivity,adenylate cyclase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0005516,MolecularActivity,calmodulin binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0008294,MolecularActivity,calcium- and calmodulin-responsive adenylate cyclase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016829,MolecularActivity,lyase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0016849,MolecularActivity,phosphorus-oxygen lyase activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0042803,MolecularActivity,protein homodimerization activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046982,MolecularActivity,protein heterodimerization activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0046983,MolecularActivity,protein dimerization activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0051721,MolecularActivity,protein phosphatase 2A binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0004930,MolecularActivity,G protein-coupled receptor activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0004935,MolecularActivity,adrenergic receptor activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0004938,MolecularActivity,alpha2-adrenergic receptor activity,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
GO:0019901,MolecularActivity,protein kinase binding,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
