:START_ID(KG),:END_ID(KG),:TYPE,id,relation,evidence_code,knowledge_level,agent_type,provided_by,source
NCBIGene:32,GO:0000166,ENABLES,edge:0008262,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0003824,ENABLES,edge:0008263,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0003989,ENABLES,edge:0008264,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0005515,ENABLES,edge:0008265,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0005524,ENABLES,edge:0008266,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0016874,ENABLES,edge:0008278,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0042802,ENABLES,edge:0008281,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0046872,ENABLES,edge:0008283,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0003995,ENABLES,edge:0008290,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0016491,ENABLES,edge:0008300,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0016627,ENABLES,edge:0008301,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0042802,ENABLES,edge:0008306,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0050660,ENABLES,edge:0008308,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0070991,ENABLES,edge:0008311,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0003779,ENABLES,edge:0008312,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005178,ENABLES,edge:0008313,RO:0002327,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005509,ENABLES,edge:0008314,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005515,ENABLES,edge:0008315,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0008307,ENABLES,edge:0008322,RO:0002327,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0042802,ENABLES,edge:0008335,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0044325,ENABLES,edge:0008338,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0046872,ENABLES,edge:0008340,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0051015,ENABLES,edge:0008344,RO:0002327,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0000166,ENABLES,edge:0008356,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0003779,ENABLES,edge:0008358,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0004016,ENABLES,edge:0008359,RO:0002327,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0005516,ENABLES,edge:0008360,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0005524,ENABLES,edge:0008361,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0008294,ENABLES,edge:0008372,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0016829,ENABLES,edge:0008380,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0016849,ENABLES,edge:0008381,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0042803,ENABLES,edge:0008395,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0046872,ENABLES,edge:0008399,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0046982,ENABLES,edge:0008400,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0046983,ENABLES,edge:0008401,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0051721,ENABLES,edge:0008408,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0004930,ENABLES,edge:0008424,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0004935,ENABLES,edge:0008425,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0004938,ENABLES,edge:0008426,RO:0002327,EXP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0005515,ENABLES,edge:0008427,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0019901,ENABLES,edge:0008445,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0031692,ENABLES,edge:0008449,RO:0002327,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0031696,ENABLES,edge:0008450,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0031996,ENABLES,edge:0008451,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0032795,ENABLES,edge:0008452,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0042803,ENABLES,edge:0008457,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0051379,ENABLES,edge:0008473,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:150,GO:0051380,ENABLES,edge:0008474,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0003676,ENABLES,edge:0008493,RO:0002327,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0003714,ENABLES,edge:0008494,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0003723,ENABLES,edge:0008495,RO:0002327,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:190,GO:0005515,ENABLES,edge:0008496,RO:0002327,IPI,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
