:START_ID(KG),:END_ID(KG),:TYPE
NCBIGene:32,NCBIProtein:NP_001084,HAS_GENE_PRODUCT
NCBIGene:34,NCBIProtein:NP_000007,HAS_GENE_PRODUCT
NCBIGene:89,NCBIProtein:NP_001095,HAS_GENE_PRODUCT
NCBIGene:114,NCBIProtein:NP_001106,HAS_GENE_PRODUCT
NCBIGene:150,NCBIProtein:NP_000672,HAS_GENE_PRODUCT
NCBIGene:190,NCBIProtein:NP_000466,HAS_GENE_PRODUCT
NCBIGene:207,NCBIProtein:NP_001369359,HAS_GENE_PRODUCT
NCBIGene:208,NCBIProtein:NP_001617,HAS_GENE_PRODUCT
NCBIGene:226,NCBIProtein:NP_001230106,HAS_GENE_PRODUCT
NCBIGene:229,NCBIProtein:NP_000026,HAS_GENE_PRODUCT
NCBIGene:230,NCBIProtein:NP_005156,HAS_GENE_PRODUCT
NCBIGene:240,NCBIProtein:NP_000689,HAS_GENE_PRODUCT
NCBIGene:347,NCBIProtein:NP_001638,HAS_GENE_PRODUCT
NCBIGene:351,NCBIProtein:NP_000475,HAS_GENE_PRODUCT
NCBIGene:354,NCBIProtein:NP_001639,HAS_GENE_PRODUCT
NCBIGene:402,NCBIProtein:NP_001658,HAS_GENE_PRODUCT
NCBIGene:405,NCBIProtein:NP_001659,HAS_GENE_PRODUCT
NCBIGene:408,NCBIProtein:NP_004032,HAS_GENE_PRODUCT
NCBIGene:468,NCBIProtein:NP_877962,HAS_GENE_PRODUCT
NCBIGene:572,NCBIProtein:NP_116784,HAS_GENE_PRODUCT
NCBIGene:632,NCBIProtein:NP_954642,HAS_GENE_PRODUCT
NCBIGene:669,NCBIProtein:NP_001715,HAS_GENE_PRODUCT
NCBIGene:680,NCBIProtein:NP_001718,HAS_GENE_PRODUCT
NCBIGene:775,NCBIProtein:NP_000710,HAS_GENE_PRODUCT
NCBIGene:859,NCBIProtein:NP_203123,HAS_GENE_PRODUCT
NCBIGene:863,NCBIProtein:NP_005178,HAS_GENE_PRODUCT
NCBIGene:957,NCBIProtein:NP_001240,HAS_GENE_PRODUCT
NCBIGene:1028,NCBIProtein:NP_001116102,HAS_GENE_PRODUCT
NCBIGene:1029,NCBIProtein:NP_000068,HAS_GENE_PRODUCT
NCBIGene:1030,NCBIProtein:NP_004927,HAS_GENE_PRODUCT
NCBIGene:1050,NCBIProtein:NP_004355,HAS_GENE_PRODUCT
NCBIGene:1056,NCBIProtein:NP_001798,HAS_GENE_PRODUCT
NCBIGene:1196,NCBIProtein:NP_001281267,HAS_GENE_PRODUCT
NCBIGene:1234,NCBIProtein:NP_001381712,HAS_GENE_PRODUCT
NCBIGene:1374,NCBIProtein:NP_001867,HAS_GENE_PRODUCT
NCBIGene:1385,NCBIProtein:NP_004370,HAS_GENE_PRODUCT
NCBIGene:1407,NCBIProtein:NP_004066,HAS_GENE_PRODUCT
NCBIGene:1408,NCBIProtein:NP_066940,HAS_GENE_PRODUCT
NCBIGene:1468,NCBIProtein:NP_036272,HAS_GENE_PRODUCT
NCBIGene:1493,NCBIProtein:NP_005205,HAS_GENE_PRODUCT
NCBIGene:1584,NCBIProtein:NP_000488,HAS_GENE_PRODUCT
NCBIGene:1589,NCBIProtein:NP_000491,HAS_GENE_PRODUCT
NCBIGene:1609,NCBIProtein:NP_001338,HAS_GENE_PRODUCT
NCBIGene:1642,NCBIProtein:NP_001914,HAS_GENE_PRODUCT
NCBIGene:1737,NCBIProtein:NP_001922,HAS_GENE_PRODUCT
NCBIGene:1738,NCBIProtein:NP_000099,HAS_GENE_PRODUCT
NCBIGene:2023,NCBIProtein:NP_001419,HAS_GENE_PRODUCT
NCBIGene:2026,NCBIProtein:NP_001966,HAS_GENE_PRODUCT
NCBIGene:2027,NCBIProtein:NP_443739,HAS_GENE_PRODUCT
NCBIGene:2033,NCBIProtein:NP_001420,HAS_GENE_PRODUCT
NCBIGene:2194,NCBIProtein:NP_004095,HAS_GENE_PRODUCT
NCBIGene:2200,NCBIProtein:NP_000129,HAS_GENE_PRODUCT
NCBIGene:2201,NCBIProtein:NP_001990,HAS_GENE_PRODUCT
NCBIGene:2203,NCBIProtein:NP_000498,HAS_GENE_PRODUCT
NCBIGene:2261,NCBIProtein:NP_000133,HAS_GENE_PRODUCT
NCBIGene:2264,NCBIProtein:NP_998812,HAS_GENE_PRODUCT
NCBIGene:2308,NCBIProtein:NP_002006,HAS_GENE_PRODUCT
NCBIGene:2309,NCBIProtein:NP_001446,HAS_GENE_PRODUCT
NCBIGene:2475,NCBIProtein:NP_004949,HAS_GENE_PRODUCT
NCBIGene:2538,NCBIProtein:NP_000142,HAS_GENE_PRODUCT
NCBIGene:2539,NCBIProtein:NP_001346945,HAS_GENE_PRODUCT
