:START_ID(KG),:END_ID(KG),:TYPE,id,relation,evidence_code,knowledge_level,agent_type,provided_by,source
NCBIGene:32,GO:0006084,INVOLVED_IN,edge:0008271,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0006629,INVOLVED_IN,edge:0008272,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0006631,INVOLVED_IN,edge:0008273,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0006633,INVOLVED_IN,edge:0008274,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0006637,INVOLVED_IN,edge:0008275,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0010884,INVOLVED_IN,edge:0008276,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0010906,INVOLVED_IN,edge:0008277,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0031667,INVOLVED_IN,edge:0008279,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0031999,INVOLVED_IN,edge:0008280,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0046322,INVOLVED_IN,edge:0008282,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0050995,INVOLVED_IN,edge:0008284,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
