:START_ID(KG),:END_ID(KG),:TYPE,id,relation,evidence_code,knowledge_level,agent_type,provided_by,source
NCBIGene:32,GO:0005634,LOCATED_IN,edge:0008267,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0005739,LOCATED_IN,edge:0008268,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0005741,LOCATED_IN,edge:0008269,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:32,GO:0005829,LOCATED_IN,edge:0008270,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0005634,LOCATED_IN,edge:0008291,RO:0001025,HDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0005737,LOCATED_IN,edge:0008292,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0005739,LOCATED_IN,edge:0008293,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0005759,LOCATED_IN,edge:0008294,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0030424,LOCATED_IN,edge:0008303,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:34,GO:0031966,LOCATED_IN,edge:0008304,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005737,LOCATED_IN,edge:0008316,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005829,LOCATED_IN,edge:0008317,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005884,LOCATED_IN,edge:0008318,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005886,LOCATED_IN,edge:0008319,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005903,LOCATED_IN,edge:0008320,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0005925,LOCATED_IN,edge:0008321,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0015629,LOCATED_IN,edge:0008327,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0030017,LOCATED_IN,edge:0008328,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0030018,LOCATED_IN,edge:0008329,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0030054,LOCATED_IN,edge:0008331,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0030864,LOCATED_IN,edge:0008332,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0031143,LOCATED_IN,edge:0008333,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0042995,LOCATED_IN,edge:0008337,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:89,GO:0070062,LOCATED_IN,edge:0008347,RO:0001025,HDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0005886,LOCATED_IN,edge:0008362,RO:0001025,IBA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0005901,LOCATED_IN,edge:0008363,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0005905,LOCATED_IN,edge:0008364,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:114,GO:0014069,LOCATED_IN,edge:0008375,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
