id:ID(KG),:LABEL,name,xref,in_taxon,chromosome,provided_by,source,symbol,gene_type,hgnc_id,omim_ids,swiss_prot,ensembl_ids
NCBIGene:3569,Gene,IL6,HGNC:6018|ENSEMBL:ENSG00000136244|OMIM:147620,NCBITaxon:9606,7,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:29126,Gene,CD274,HGNC:17635|ENSEMBL:ENSG00000120217|OMIM:605402,NCBITaxon:9606,9,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2475,Gene,MTOR,HGNC:3942|ENSEMBL:ENSG00000198793|OMIM:601231,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5468,Gene,PPARG,HGNC:9236|ENSEMBL:ENSG00000132170|OMIM:601487,NCBITaxon:9606,3,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2908,Gene,NR3C1,HGNC:7978|ENSEMBL:ENSG00000113580|OMIM:138040,NCBITaxon:9606,5,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3630,Gene,INS,HGNC:6081|ENSEMBL:ENSG00000254647|OMIM:176730,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3265,Gene,HRAS,HGNC:5173|ENSEMBL:ENSG00000174775|OMIM:190020,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3643,Gene,INSR,HGNC:6091|ENSEMBL:ENSG00000171105|OMIM:147670,NCBITaxon:9606,19,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3784,Gene,KCNQ1,HGNC:6294|ENSEMBL:ENSG00000053918|OMIM:607542,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3559,Gene,IL2RA,HGNC:6008|ENSEMBL:ENSG00000134460|OMIM:147730,NCBITaxon:9606,10,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:4893,Gene,NRAS,HGNC:7989|ENSEMBL:ENSG00000213281|OMIM:164790,NCBITaxon:9606,1,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6927,Gene,HNF1A,HGNC:11621|ENSEMBL:ENSG00000135100|OMIM:142410,NCBITaxon:9606,12,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:6786,Gene,STIM1,HGNC:11386|ENSEMBL:ENSG00000167323|OMIM:605921,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:3767,Gene,KCNJ11,HGNC:6257|ENSEMBL:ENSG00000187486|OMIM:600937,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:2645,Gene,GCK,HGNC:4195|ENSEMBL:ENSG00000106633|OMIM:138079,NCBITaxon:9606,7,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:4221,Gene,MEN1,HGNC:7010|ENSEMBL:ENSG00000133895|OMIM:613733,NCBITaxon:9606,11,NCBI:Gene,NCBI Gene,,,,,,
NCBIGene:5443,Gene,POMC,HGNC:9201|ENSEMBL:ENSG00000115138|OMIM:176830,NCBITaxon:9606,2,NCBI:Gene,NCBI Gene,,,,,,
