id:ID(KG),:LABEL,name,provided_by,accession,length,source_db,mane_status,mane_refseq_nuc,mane_ensembl_nuc,mane_ensembl_prot
NCBIProtein:NP_001084,Protein,acetyl-CoA carboxylase 2 isoform a,,NP_001084.3,2458.0,RefSeq,MANE Select,NM_001093.4,ENST00000338432.12,ENSP00000341044.7
NCBIProtein:NP_000007,Protein,"medium-chain specific acyl-CoA dehydrogenase, mitochondrial isoform a precursor",,NP_000007.1,421.0,RefSeq,MANE Select,NM_000016.6,ENST00000370841.9,ENSP00000359878.5
NCBIProtein:NP_001095,Protein,alpha-actinin-3 isoform 1,,NP_001095.2,901.0,RefSeq,MANE Select,NM_001104.4,ENST00000513398.2,ENSP00000426797.1
NCBIProtein:NP_001106,Protein,adenylate cyclase type 8,,NP_001106.1,1251.0,RefSeq,MANE Select,NM_001115.3,ENST00000286355.10,ENSP00000286355.5
NCBIProtein:NP_000672,Protein,alpha-2A adrenergic receptor,,NP_000672.3,465.0,RefSeq,MANE Select,NM_000681.4,ENST00000280155.4,ENSP00000280155.2
NCBIProtein:NP_000466,Protein,nuclear receptor subfamily 0 group B member 1,,NP_000466.2,470.0,RefSeq,MANE Select,NM_000475.5,ENST00000378970.5,ENSP00000368253.4
NCBIProtein:NP_001369359,Protein,RAC-alpha serine/threonine-protein kinase,,NP_001369359.1,480.0,RefSeq,MANE Select,NM_001382430.1,ENST00000649815.2,ENSP00000497822.1
NCBIProtein:NP_001617,Protein,RAC-beta serine/threonine-protein kinase isoform 1,,NP_001617.1,481.0,RefSeq,MANE Select,NM_001626.6,ENST00000392038.7,ENSP00000375892.2
NCBIProtein:NP_001230106,Protein,fructose-bisphosphate aldolase A isoform 2,,NP_001230106.1,418.0,RefSeq,MANE Select,NM_001243177.4,ENST00000642816.3,ENSP00000496166.1
NCBIProtein:NP_000026,Protein,fructose-bisphosphate aldolase B,,NP_000026.2,364.0,RefSeq,MANE Select,NM_000035.4,ENST00000647789.2,ENSP00000497767.1
NCBIProtein:NP_005156,Protein,fructose-bisphosphate aldolase C,,NP_005156.1,364.0,RefSeq,MANE Select,NM_005165.3,ENST00000226253.9,ENSP00000226253.4
NCBIProtein:NP_000689,Protein,polyunsaturated fatty acid 5-lipoxygenase isoform 1,,NP_000689.1,674.0,RefSeq,MANE Select,NM_000698.5,ENST00000374391.7,ENSP00000363512.2
NCBIProtein:NP_001638,Protein,apolipoprotein D precursor,,NP_001638.1,189.0,RefSeq,MANE Select,NM_001647.4,ENST00000343267.8,ENSP00000345179.3
NCBIProtein:NP_000475,Protein,amyloid-beta precursor protein isoform a precursor,,NP_000475.1,770.0,RefSeq,MANE Select,NM_000484.4,ENST00000346798.8,ENSP00000284981.4
NCBIProtein:NP_001639,Protein,prostate-specific antigen isoform 1 preproprotein,,NP_001639.1,261.0,RefSeq,MANE Select,NM_001648.2,ENST00000326003.7,ENSP00000314151.1
NCBIProtein:NP_001658,Protein,ADP-ribosylation factor-like protein 2 isoform 1,,NP_001658.2,184.0,RefSeq,MANE Select,NM_001667.4,ENST00000246747.9,ENSP00000246747.4
NCBIProtein:NP_001659,Protein,aryl hydrocarbon receptor nuclear translocator isoform 1,,NP_001659.1,789.0,RefSeq,MANE Select,NM_001668.4,ENST00000358595.10,ENSP00000351407.5
NCBIProtein:NP_004032,Protein,beta-arrestin-1 isoform A,,NP_004032.2,418.0,RefSeq,MANE Select,NM_004041.5,ENST00000420843.7,ENSP00000409581.2
NCBIProtein:NP_877962,Protein,cyclic AMP-dependent transcription factor ATF-4,,NP_877962.1,351.0,RefSeq,MANE Select,NM_182810.3,ENST00000674920.3,ENSP00000501863.1
NCBIProtein:NP_116784,Protein,bcl2-associated agonist of cell death,,NP_116784.1,168.0,RefSeq,MANE Select,NM_032989.3,ENST00000309032.8,ENSP00000309103.3
NCBIProtein:NP_954642,Protein,osteocalcin preproprotein,,NP_954642.1,100.0,RefSeq,MANE Select,NM_199173.6,ENST00000368272.5,ENSP00000357255.4
NCBIProtein:NP_001715,Protein,bisphosphoglycerate mutase,,NP_001715.1,259.0,RefSeq,MANE Select,NM_001724.5,ENST00000344924.8,ENSP00000342032.3
NCBIProtein:NP_001718,Protein,bombesin receptor subtype-3,,NP_001718.1,399.0,RefSeq,MANE Select,NM_001727.2,ENST00000370648.4,ENSP00000359682.3
NCBIProtein:NP_000710,Protein,voltage-dependent L-type calcium channel subunit alpha-1C isoform 18,,NP_000710.5,2138.0,RefSeq,MANE Select,NM_000719.7,ENST00000399655.6,ENSP00000382563.1
NCBIProtein:NP_203123,Protein,caveolin-3,,NP_203123.1,151.0,RefSeq,MANE Select,NM_033337.3,ENST00000343849.3,ENSP00000341940.2
NCBIProtein:NP_005178,Protein,transcriptional corepressor CBFA2T3 isoform 1,,NP_005178.4,653.0,RefSeq,MANE Select,NM_005187.6,ENST00000268679.9,ENSP00000268679.4
NCBIProtein:NP_001240,Protein,nucleoside diphosphate phosphatase ENTPD5 isoform 1 precursor,,NP_001240.1,428.0,RefSeq,MANE Select,NM_001249.5,ENST00000334696.11,ENSP00000335246.6
NCBIProtein:NP_001116102,Protein,cyclin-dependent kinase inhibitor 1C isoform b,,NP_001116102.1,305.0,RefSeq,MANE Select,NM_001122630.2,ENST00000440480.8,ENSP00000411257.2
NCBIProtein:NP_000068,Protein,cyclin-dependent kinase inhibitor 2A isoform p16INK4a,,NP_000068.1,156.0,RefSeq,MANE Select,NM_000077.5,ENST00000304494.10,ENSP00000307101.5
NCBIProtein:NP_004927,Protein,cyclin-dependent kinase 4 inhibitor B isoform 1,,NP_004927.2,138.0,RefSeq,MANE Select,NM_004936.4,ENST00000276925.7,ENSP00000276925.6
NCBIProtein:NP_004355,Protein,CCAAT/enhancer-binding protein alpha isoform a,,NP_004355.2,358.0,RefSeq,MANE Select,NM_004364.5,ENST00000498907.3,ENSP00000427514.1
NCBIProtein:NP_001798,Protein,bile salt-activated lipase precursor,,NP_001798.3,753.0,RefSeq,MANE Select,NM_001807.6,ENST00000372080.8,ENSP00000361151.6
NCBIProtein:NP_001281267,Protein,dual specificity protein kinase CLK2 isoform 1,,NP_001281267.1,499.0,RefSeq,MANE Select,NM_001294338.2,ENST00000368361.9,ENSP00000357345.4
NCBIProtein:NP_001381712,Protein,C-C chemokine receptor type 5,,NP_001381712.1,352.0,RefSeq,MANE Select,NM_001394783.1,ENST00000292303.5,ENSP00000292303.4
NCBIProtein:NP_001867,Protein,"carnitine O-palmitoyltransferase 1, liver isoform isoform 1",,NP_001867.2,773.0,RefSeq,MANE Select,NM_001876.4,ENST00000265641.10,ENSP00000265641.4
NCBIProtein:NP_004370,Protein,cyclic AMP-responsive element-binding protein 1 isoform A,,NP_004370.1,327.0,RefSeq,MANE Select,NM_004379.5,ENST00000353267.8,ENSP00000236995.3
NCBIProtein:NP_004066,Protein,cryptochrome-1 isoform d,,NP_004066.1,586.0,RefSeq,MANE Select,NM_004075.5,ENST00000008527.10,ENSP00000008527.5
NCBIProtein:NP_066940,Protein,cryptochrome-2 isoform 1,,NP_066940.3,593.0,RefSeq,MANE Select,NM_021117.5,ENST00000616080.2,ENSP00000484684.1
NCBIProtein:NP_036272,Protein,mitochondrial dicarboxylate carrier isoform 2,,NP_036272.2,287.0,RefSeq,MANE Select,NM_012140.5,ENST00000350690.10,ENSP00000345580.5
NCBIProtein:NP_005205,Protein,cytotoxic T-lymphocyte protein 4 isoform CTLA4-TM precursor,,NP_005205.2,223.0,RefSeq,MANE Select,NM_005214.5,ENST00000648405.2,ENSP00000497102.1
NCBIProtein:NP_000488,Protein,"cytochrome P450 11B1, mitochondrial isoform 1 precursor",,NP_000488.3,503.0,RefSeq,MANE Select,NM_000497.4,ENST00000292427.10,ENSP00000292427.5
NCBIProtein:NP_000491,Protein,steroid 21-hydroxylase isoform a,,NP_000491.4,495.0,RefSeq,MANE Select,NM_000500.9,ENST00000644719.2,ENSP00000496625.1
NCBIProtein:NP_001338,Protein,diacylglycerol kinase theta,,NP_001338.2,942.0,RefSeq,MANE Select,NM_001347.4,ENST00000273814.8,ENSP00000273814.3
NCBIProtein:NP_001914,Protein,DNA damage-binding protein 1,,NP_001914.3,1140.0,RefSeq,MANE Select,NM_001923.5,ENST00000301764.12,ENSP00000301764.7
NCBIProtein:NP_001922,Protein,"dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial isoform 2 precursor",,NP_001922.2,647.0,RefSeq,MANE Select,NM_001931.5,ENST00000280346.11,ENSP00000280346.7
NCBIProtein:NP_000099,Protein,"dihydrolipoyl dehydrogenase, mitochondrial isoform 1 precursor",,NP_000099.2,509.0,RefSeq,MANE Select,NM_000108.5,ENST00000205402.10,ENSP00000205402.3
NCBIProtein:NP_001419,Protein,alpha-enolase isoform 1,,NP_001419.1,434.0,RefSeq,MANE Select,NM_001428.5,ENST00000234590.10,ENSP00000234590.4
NCBIProtein:NP_001966,Protein,gamma-enolase,,NP_001966.1,434.0,RefSeq,MANE Select,NM_001975.3,ENST00000229277.6,ENSP00000229277.1
NCBIProtein:NP_443739,Protein,beta-enolase isoform 1,,NP_443739.3,434.0,RefSeq,MANE Select,NM_053013.4,ENST00000519602.6,ENSP00000430055.2
NCBIProtein:NP_001420,Protein,histone acetyltransferase p300 isoform 1,,NP_001420.2,2414.0,RefSeq,MANE Select,NM_001429.4,ENST00000263253.9,ENSP00000263253.7
NCBIProtein:NP_004095,Protein,fatty acid synthase,,NP_004095.4,2511.0,RefSeq,MANE Select,NM_004104.5,ENST00000306749.4,ENSP00000304592.2
NCBIProtein:NP_000129,Protein,fibrillin-1 isoform a preproprotein,,NP_000129.3,2871.0,RefSeq,MANE Select,NM_000138.5,ENST00000316623.10,ENSP00000325527.5
NCBIProtein:NP_001990,Protein,fibrillin-2 isoform 1 precursor,,NP_001990.2,2912.0,RefSeq,MANE Select,NM_001999.4,ENST00000262464.9,ENSP00000262464.4
NCBIProtein:NP_000498,Protein,"fructose-1,6-bisphosphatase 1",,NP_000498.2,338.0,RefSeq,MANE Select,NM_000507.4,ENST00000375326.9,ENSP00000364475.5
NCBIProtein:NP_000133,Protein,fibroblast growth factor receptor 3 isoform 1 precursor,,NP_000133.1,806.0,RefSeq,MANE Select,NM_000142.5,ENST00000440486.8,ENSP00000414914.2
NCBIProtein:NP_998812,Protein,fibroblast growth factor receptor 4 isoform 1 precursor,,NP_998812.1,802.0,RefSeq,MANE Select,NM_213647.3,ENST00000292408.9,ENSP00000292408.4
NCBIProtein:NP_002006,Protein,forkhead box protein O1,,NP_002006.2,655.0,RefSeq,MANE Select,NM_002015.4,ENST00000379561.6,ENSP00000368880.4
NCBIProtein:NP_001446,Protein,forkhead box protein O3 isoform 1,,NP_001446.1,673.0,RefSeq,MANE Select,NM_001455.4,ENST00000406360.2,ENSP00000385824.1
NCBIProtein:NP_004949,Protein,serine/threonine-protein kinase mTOR isoform 1,,NP_004949.1,2549.0,RefSeq,MANE Select,NM_004958.4,ENST00000361445.9,ENSP00000354558.4
NCBIProtein:NP_000142,Protein,glucose-6-phosphatase catalytic subunit 1 isoform 1,,NP_000142.2,357.0,RefSeq,MANE Select,NM_000151.4,ENST00000253801.7,ENSP00000253801.1
NCBIProtein:NP_001346945,Protein,glucose-6-phosphate 1-dehydrogenase isoform b,,NP_001346945.1,515.0,RefSeq,MANE Select,NM_001360016.2,ENST00000393562.10,ENSP00000377192.3
NCBIProtein:NP_001157749,Protein,glucose-6-phosphate exchanger SLC37A4 isoform 1,,NP_001157749.1,429.0,RefSeq,MANE Select,NM_001164277.2,ENST00000642844.3,ENSP00000493469.1
NCBIProtein:NP_000143,Protein,lysosomal alpha-glucosidase preproprotein,,NP_000143.2,952.0,RefSeq,MANE Select,NM_000152.5,ENST00000302262.8,ENSP00000305692.3
NCBIProtein:NP_001008217,Protein,UDP-glucose 4-epimerase,,NP_001008217.1,348.0,RefSeq,MANE Select,NM_001008216.2,ENST00000617979.5,ENSP00000483375.1
NCBIProtein:NP_000145,Protein,galactokinase,,NP_000145.1,392.0,RefSeq,MANE Select,NM_000154.2,ENST00000588479.6,ENSP00000465930.1
NCBIProtein:NP_002035,Protein,N-acetylgalactosamine kinase isoform 1,,NP_002035.1,458.0,RefSeq,MANE Select,NM_002044.4,ENST00000560031.6,ENSP00000453129.1
NCBIProtein:NP_000146,Protein,galactose-1-phosphate uridylyltransferase isoform 1,,NP_000146.2,379.0,RefSeq,MANE Select,NM_000155.4,ENST00000378842.8,ENSP00000368119.4
NCBIProtein:NP_002037,Protein,glyceraldehyde-3-phosphate dehydrogenase isoform 1,,NP_002037.2,335.0,RefSeq,MANE Select,NM_002046.7,ENST00000229239.10,ENSP00000229239.5
NCBIProtein:NP_000149,Protein,"1,4-alpha-glucan-branching enzyme",,NP_000149.4,702.0,RefSeq,MANE Select,NM_000158.4,ENST00000429644.7,ENSP00000410833.2
NCBIProtein:NP_002045,Protein,pro-glucagon preproprotein,,NP_002045.1,180.0,RefSeq,MANE Select,NM_002054.5,ENST00000418842.7,ENSP00000387662.2
NCBIProtein:NP_000151,Protein,glucagon receptor precursor,,NP_000151.1,477.0,RefSeq,MANE Select,NM_000160.5,ENST00000400723.8,ENSP00000383558.3
NCBIProtein:NP_000153,Protein,hexokinase-4 isoform 1,,NP_000153.1,465.0,RefSeq,MANE Select,NM_000162.5,ENST00000403799.8,ENSP00000384247.3
NCBIProtein:NP_001477,Protein,glucokinase regulatory protein,,NP_001477.2,625.0,RefSeq,MANE Select,NM_001486.4,ENST00000264717.7,ENSP00000264717.2
