:START_ID(KG),:END_ID(KG),:TYPE,id,relation,knowledge_level,agent_type,provided_by,source
ClinVar:VCV004682698,NCBIGene:221927,IS_SEQUENCE_VARIANT_OF,edge:0000838,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004682692,NCBIGene:3569,IS_SEQUENCE_VARIANT_OF,edge:0000839,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003062983,NCBIGene:3569,IS_SEQUENCE_VARIANT_OF,edge:0000840,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003062961,NCBIGene:3569,IS_SEQUENCE_VARIANT_OF,edge:0000841,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002424085,NCBIGene:3569,IS_SEQUENCE_VARIANT_OF,edge:0000842,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000059679,NCBIGene:3569,IS_SEQUENCE_VARIANT_OF,edge:0000843,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000059678,NCBIGene:221937,IS_SEQUENCE_VARIANT_OF,edge:0000844,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000057453,NCBIGene:221937,IS_SEQUENCE_VARIANT_OF,edge:0000845,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004682739,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000846,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004076076,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000847,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004075951,NCBIGene:10670,IS_SEQUENCE_VARIANT_OF,edge:0000848,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003896738,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000849,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003391904,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000850,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003063123,NCBIGene:29126,IS_SEQUENCE_VARIANT_OF,edge:0000851,GENO:0000408,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
