:START_ID(KG),:END_ID(KG),:TYPE,id,relation,knowledge_level,agent_type,provided_by,source
ClinVar:VCV002424085,MONDO:0016575,CAUSES,edge:0005577,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002424085,MONDO:0012514,CAUSES,edge:0005578,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003896738,MONDO:0008013,CAUSES,edge:0005579,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001684649,MONDO:0008013,CAUSES,edge:0005580,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001047891,MONDO:0000156,CAUSES,edge:0005581,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004056380,MONDO:0014716,CAUSES,edge:0005582,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003774491,MONDO:0011818,CAUSES,edge:0005583,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004277380,MONDO:0005148,CAUSES,edge:0005584,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004277380,MONDO:0011448,CAUSES,edge:0005585,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003358997,MONDO:0011448,CAUSES,edge:0005586,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002412803,MONDO:0011448,CAUSES,edge:0005587,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001686091,MONDO:0005148,CAUSES,edge:0005588,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001686090,MONDO:0005148,CAUSES,edge:0005589,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001285541,MONDO:0011448,CAUSES,edge:0005590,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000436405,MONDO:0011448,CAUSES,edge:0005591,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000436400,MONDO:0011448,CAUSES,edge:0005592,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003591819,MONDO:0014421,CAUSES,edge:0005593,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003591808,MONDO:0014421,CAUSES,edge:0005594,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000457359,MONDO:0021056,CAUSES,edge:0005595,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000457359,MONDO:0015356,CAUSES,edge:0005596,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV002503522,MONDO:0008394,CAUSES,edge:0005597,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001457228,MONDO:0011551,CAUSES,edge:0005598,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000931331,MONDO:0013240,CAUSES,edge:0005599,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000625559,MONDO:0020796,CAUSES,edge:0005600,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000431443,MONDO:0005015,CAUSES,edge:0005601,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000431443,MONDO:0014535,CAUSES,edge:0005602,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000431443,MONDO:0007454,CAUSES,edge:0005603,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001810343,MONDO:0021060,CAUSES,edge:0005604,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001327492,MONDO:0009026,CAUSES,edge:0005605,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV001209208,MONDO:0009026,CAUSES,edge:0005606,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000462149,MONDO:0009026,CAUSES,edge:0005607,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000391700,MONDO:0001187,CAUSES,edge:0005608,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000391700,MONDO:0009026,CAUSES,edge:0005609,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV000391700,MONDO:0008097,CAUSES,edge:0005610,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV004073618,MONDO:0012520,CAUSES,edge:0005611,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003896504,MONDO:0012381,CAUSES,edge:0005612,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
ClinVar:VCV003776007,MONDO:0009874,CAUSES,edge:0005613,RO:0003303,knowledge_assertion,manual_agent,NCBI:ClinVar,NCBI ClinVar
